timestamp,whisker
1786774250.3713298,495
1786774250.4066713,494
1786774250.414485,499
1786774250.4467812,495
1786774250.4561596,496
1786774250.485913,495
1786774250.5060105,494
1786774250.526716,496
1786774250.5463462,497
1786774250.5668068,496
1786774250.5870178,496
1786774250.6069093,495
1786774250.622629,496
1786774250.6465764,497
1786774250.6641428,497
1786774250.6861398,496
1786774250.705822,496
1786774250.7265012,498
1786774250.746527,496
1786774250.7669592,498
1786774250.7863407,496
1786774250.8030152,497
1786774250.8269458,496
1786774250.8468602,498
1786774250.8653994,498
1786774250.8864527,497
1786774250.9061558,496
1786774250.927035,497
1786774250.9467692,497
1786774250.96272,495
1786774250.9867141,498
1786774251.0044475,497
1786774251.025149,497
1786774251.045428,495
1786774251.0671046,498
1786774251.0866926,495
1786774251.107494,495
1786774251.1220636,497
1786774251.143871,495
1786774251.164685,498
1786774251.1856916,497
1786774251.206326,497
1786774251.2274156,496
1786774251.2467177,497
1786774251.26735,495
1786774251.2872694,496
1786774251.3029864,497
1786774251.327594,496
1786774251.3445673,496
1786774251.3675249,497
1786774251.386331,497
1786774251.407116,497
1786774251.4268742,496
1786774251.4428174,497
1786774251.4676304,497
1786774251.4867167,496
1786774251.507586,497
1786774251.5252512,497
1786774251.5459828,497
1786774251.566613,497
1786774251.587623,498
1786774251.6074662,495
1786774251.6224563,498
1786774251.6434486,498
1786774251.6672397,499
1786774251.685861,496
1786774251.7069125,500
1786774251.725865,496
1786774251.7474735,499
1786774251.767055,496
1786774251.7879152,497
1786774251.806088,498
1786774251.82363,493
1786774251.8452277,497
1786774251.8653538,497
1786774251.88791,497
1786774251.9070451,496
1786774251.9279058,496
1786774251.9477906,496
1786774251.9625943,497
1786774251.987221,496
1786774252.0073767,499
1786774252.0250726,497
1786774252.0459766,496
1786774252.0665996,497
1786774252.0875847,497
1786774252.1073904,495
1786774252.1281936,500
1786774252.1470838,497
1786774252.1639,494
1786774252.1846552,496
1786774252.205542,497
1786774252.226429,497
1786774252.2471964,496
1786774252.2680717,496
1786774252.2879472,495
1786774252.30272,496
1786774252.3235946,497
1786774252.3483417,497
1786774252.3653061,497
1786774252.3861225,496
1786774252.4068346,497
1786774252.427739,497
1786774252.448085,495
1786774252.4685283,497
1786774252.4885604,497
1786774252.504083,495
1786774252.5285556,497
1786774252.548241,497
1786774252.5685818,497
1786774252.588563,499
1786774252.6081984,495
1786774252.6281369,497
1786774252.6480317,496
1786774252.66373,497
1786774252.6879718,497
1786774252.7054915,497
1786774252.7287455,497
1786774252.7471058,495
1786774252.767915,496
1786774252.7886357,496
1786774252.8084583,496
1786774252.8287027,498
1786774252.84436,506
1786774252.868871,497
