timestamp,whisker
1786776002.563984,495
1786776002.5835922,494
1786776002.6038888,493
1786776002.6213896,494
1786776002.6441178,495
1786776002.6631603,494
1786776002.6836774,494
1786776002.7025974,494
1786776002.7228715,492
1786776002.7437723,495
1786776002.7641158,498
1786776002.7804558,494
1786776002.803487,495
1786776002.8199692,494
1786776002.8438725,494
1786776002.8621378,495
1786776002.8836675,493
1786776002.9043386,492
1786776002.9242835,496
1786776002.9440024,494
1786776002.9587603,494
1786776002.9838629,493
1786776003.000475,495
1786776003.024395,494
1786776003.042206,494
1786776003.0642228,495
1786776003.0837157,496
1786776003.1037154,492
1786776003.124554,495
1786776003.1413069,495
1786776003.1642466,493
1786776003.1838117,496
1786776003.2009535,494
1786776003.223502,494
1786776003.2439818,493
1786776003.2644203,494
1786776003.2842464,495
1786776003.3021438,493
1786776003.3196723,493
1786776003.3406985,495
1786776003.3648832,495
1786776003.382589,494
1786776003.40301,495
1786776003.424902,495
1786776003.4441226,497
1786776003.463903,495
1786776003.4817266,494
1786776003.504757,495
1786776003.5212219,496
1786776003.544811,493
1786776003.5631013,493
1786776003.584992,494
1786776003.6038113,494
1786776003.624602,495
1786776003.6448622,493
1786776003.6649504,493
1786776003.6829145,494
1786776003.7018342,494
1786776003.7225897,494
1786776003.7434173,495
1786776003.7650983,491
1786776003.7850847,494
1786776003.8051088,495
1786776003.8201027,495
1786776003.8437073,493
1786776003.8653476,497
1786776003.8845708,494
1786776003.9033144,493
1786776003.924156,494
1786776003.9447782,494
1786776003.9646363,495
1786776003.9848433,495
1786776004.0055885,494
1786776004.0215514,494
1786776004.0424454,496
1786776004.0633588,495
1786776004.0850909,496
1786776004.104573,497
1786776004.1253633,495
1786776004.1451058,493
1786776004.1605542,494
1786776004.1851723,494
1786776004.2025056,492
1786776004.2232757,496
1786776004.2440765,494
1786776004.2645872,492
1786776004.2853775,494
1786776004.3048792,495
1786776004.3257027,494
1786776004.3455513,494
1786776004.3613155,494
1786776004.385632,496
1786776004.4033303,494
1786776004.4249544,495
1786776004.4447634,494
