timestamp,whisker
1786773834.5671918,504
1786773834.5886395,503
1786773834.6087208,503
1786773834.6280577,505
1786773834.6489146,503
1786773834.6686802,502
1786773834.688984,503
1786773834.7084773,503
1786773834.7282693,503
1786773834.7491999,503
1786773834.768587,504
1786773834.788061,502
1786773834.8089614,503
1786773834.8281887,503
1786773834.8490956,502
1786773834.8686802,503
1786773834.88861,504
1786773834.9055552,505
1786773834.927778,503
1786773834.9492216,502
1786773834.968607,503
1786773834.9887915,502
1786773835.0087352,504
1786773835.0289555,503
1786773835.0440893,504
1786773835.0674644,502
1786773835.0870206,502
1786773835.1073165,503
1786773835.1288068,502
1786773835.148831,502
1786773835.1693723,503
1786773835.1892304,504
1786773835.2040982,505
1786773835.2289932,505
1786773835.2493687,504
1786773835.2666092,503
1786773835.2890043,505
1786773835.3006332,503
1786773835.3292913,503
1786773835.3352554,502
1786773835.3688984,504
1786773835.3896177,504
1786773835.4055073,504
1786773835.429762,502
1786773835.4471343,503
1786773835.469774,505
1786773835.4888966,512
1786773835.5096946,504
1786773835.5291684,503
1786773835.549744,504
1786773835.568332,504
1786773835.5881279,500
1786773835.608935,502
1786773835.627622,504
1786773835.6485972,503
1786773835.6694212,502
1786773835.6893082,502
1786773835.7061934,503
1786773835.7248461,504
1786773835.7459404,503
1786773835.7665336,503
1786773835.7890396,503
1786773835.8082259,502
1786773835.8290184,504
1786773835.8499181,502
1786773835.868967,503
1786773835.8891487,502
1786773835.9053621,504
1786773835.926255,503
1786773835.9470718,504
1786773835.967942,502
1786773835.989259,502
1786773836.0095968,503
1786773836.029419,503
1786773836.0469353,503
1786773836.065153,503
1786773836.0896761,503
1786773836.1066015,504
1786773836.1279893,503
1786773836.1484437,502
1786773836.169088,503
1786773836.1900854,505
1786773836.210016,502
1786773836.2248847,503
1786773836.2472677,503
1786773836.266465,503
1786773836.2898645,504
1786773836.3079817,503
1786773836.330422,503
1786773836.3497512,504
1786773836.370321,502
1786773836.3902016,504
1786773836.4055798,502
1786773836.425476,504
1786773836.4492362,504
1786773836.4681284,504
1786773836.4901729,503
1786773836.5093365,503
1786773836.5300958,504
1786773836.549799,505
1786773836.5678089,503
1786773836.5904818,504
1786773836.6094441,504
1786773836.6307833,504
1786773836.6506534,505
1786773836.6690583,503
1786773836.6907995,501
1786773836.7101607,503
1786773836.7306697,504
1786773836.7508729,503
1786773836.7677999,503
1786773836.7908146,498
1786773836.807293,503
1786773836.830875,504
1786773836.8501518,503
1786773836.8704593,505
1786773836.890978,503
1786773836.9111636,503
1786773836.9302814,503
1786773836.94678,504
1786773836.971058,503
1786773836.991196,503
1786773837.011105,504
1786773837.0300138,502
1786773837.0507028,507
1786773837.070945,503
1786773837.0888188,502
1786773837.110482,502
1786773837.1270587,503
1786773837.1512246,502
1786773837.16898,504
1786773837.1911385,504
1786773837.2106152,503
1786773837.2306235,501
1786773837.2511377,503
1786773837.2661183,501
1786773837.2904444,504
1786773837.3077857,503
1786773837.3313901,502
1786773837.351514,503
1786773837.3714118,502
1786773837.3910394,501
1786773837.4110017,503
1786773837.4258742,505
1786773837.4514227,504
1786773837.467542,503
1786773837.4915373,505
1786773837.5092413,504
1786773837.531563,502
1786773837.550875,504
1786773837.5715928,502
1786773837.5915213,502
1786773837.606396,503
1786773837.6313524,502
1786773837.6510015,493
1786773837.6687524,502
1786773837.6891375,503
1786773837.710536,504
1786773837.7307947,504
1786773837.751754,503
1786773837.7710268,502
1786773837.7911394,503
1786773837.811665,504
1786773837.8315768,502
1786773837.8493972,502
1786773837.8717842,502
1786773837.891052,502
1786773837.911779,503
1786773837.9316485,503
1786773837.9465768,504
1786773837.9719105,504
1786773837.9882848,503
1786773838.0093145,503
1786773838.0290413,502
1786773838.0500448,504
1786773838.0715573,503
1786773838.0918672,503
1786773838.1063619,503
1786773838.131457,502
1786773838.1478994,502
1786773838.1686413,503
1786773838.191388,502
1786773838.2052093,503
1786773838.2320352,502
1786773838.2383707,503
1786773838.2720873,503
1786773838.2791736,505
1786773838.3122654,499
1786773838.321092,504
1786773838.3516846,503
1786773838.3723247,504
1786773838.3922744,503
1786773838.4118428,504
1786773838.4321122,502
1786773838.4467258,502
1786773838.4723458,504
1786773838.4881802,502
1786773838.5118139,504
1786773838.5324087,506
1786773838.5506592,503
1786773838.5708191,502
