timestamp,rawL,rawR
1786722526.7996442,588,206
1786722526.8501096,588,206
1786722526.8997042,588,206
1786722526.95024,588,206
1786722526.9940343,588,206
1786722527.0502012,588,204
1786722527.0911837,588,204
1786722527.1489093,588,203
1786722527.1962867,588,204
1786722527.2370977,588,203
1786722527.3002262,587,202
1786722527.3413622,588,202
1786722527.3987267,588,202
1786722527.4457276,588,200
1786722527.4939332,589,200
1786722527.5355253,588,201
1786722527.5980885,588,201
1786722527.6474962,588,200
1786722527.700345,588,200
1786722527.750886,588,199
1786722527.8002644,588,198
1786722527.8420544,588,198
1786722527.8987691,588,199
1786722527.9451945,588,197
1786722527.9866023,588,198
1786722528.0494645,588,197
1786722528.0985963,588,198
1786722528.13999,588,198
1786722528.2012513,588,196
1786722528.2446373,588,196
1786722528.286418,588,196
1786722528.3514593,588,196
1786722528.4014766,588,194
1786722528.451495,588,194
1786722528.5005171,588,194
1786722528.550006,588,193
1786722528.5917954,588,193
1786722528.6494925,588,192
1786722528.7006376,588,192
1786722528.7519786,588,191
1786722528.7863002,588,189
1786722528.8518326,588,188
1786722528.8973527,588,187
1786722528.9390957,588,187
1786722529.0015044,588,188
1786722529.043181,588,187
1786722529.0917573,588,187
1786722529.1494567,588,186
1786722529.2015731,588,185
1786722529.244506,588,185
1786722529.302066,588,185
1786722529.3521717,589,183
1786722529.3967683,589,183
1786722529.4437559,588,183
1786722529.5014658,588,183
1786722529.5429366,589,183
1786722529.6022713,588,181
1786722529.6459455,588,181
1786722529.7020187,588,181
1786722529.7513528,588,180
1786722529.792455,588,180
1786722529.850695,589,179
1786722529.9024928,589,179
1786722529.945155,588,179
1786722529.987467,588,179
1786722530.052292,588,178
1786722530.0985503,588,178
1786722530.1468356,589,178
1786722530.1887603,588,178
1786722530.2526436,588,178
1786722530.299848,588,178
1786722530.3415482,588,178
1786722530.4027224,587,177
1786722530.4452822,587,178
1786722530.5028288,587,178
1786722530.5530212,587,178
1786722530.598311,588,178
1786722530.6531,589,177
1786722530.7030754,604,179
1786722530.752226,616,180
1786722530.8032074,632,181
1786722530.853294,649,180
1786722530.8970094,663,181
1786722530.9386294,674,183
1786722531.0010204,677,183
1786722531.0428302,677,183
1786722531.10345,675,181
1786722531.1535842,647,179
1786722531.201819,600,177
1786722531.2441616,507,167
1786722531.3035932,407,159
1786722531.3535297,310,153
1786722531.396366,246,145
1786722531.4479542,234,145
1786722531.5034401,278,153
1786722531.5428014,329,156
1786722531.603757,415,163
1786722531.6492038,512,173
1786722531.7038736,571,177
1786722531.7509675,612,179
1786722531.7925158,653,181
1786722531.84112,678,183
1786722531.9036493,689,183
1786722531.9453733,691,183
1786722532.002247,695,183
1786722532.0541253,706,183
1786722532.0981193,711,183
1786722532.1397781,714,183
1786722532.2017467,716,183
1786722532.249972,715,183
1786722532.2915673,715,183
1786722532.3541176,715,183
1786722532.395797,716,183
1786722532.4534187,728,183
1786722532.5038128,754,183
1786722532.5485175,760,183
1786722532.5903623,761,183
1786722532.6545718,761,183
1786722532.703877,761,184
1786722532.7550468,761,183
1786722532.7987988,761,183
1786722532.8454442,760,183
1786722532.9033897,760,184
1786722532.9451122,760,184
1786722533.0048196,760,183
1786722533.0548086,759,183
1786722533.0972178,733,182
1786722533.1394134,657,180
1786722533.2021346,585,175
1786722533.2431939,510,168
1786722533.3049443,463,166
1786722533.3548114,463,166
1786722533.3965137,462,166
1786722533.455158,455,164
1786722533.5051818,453,165
1786722533.5491223,485,170
1786722533.5910227,547,175
1786722533.6534107,617,181
1786722533.7053185,659,182
1786722533.7553213,682,183
1786722533.8048284,693,183
1786722533.8541327,716,183
1786722533.8956037,725,183
1786722533.9555264,727,183
1786722534.0005696,727,183
1786722534.0422268,727,184
1786722534.1056116,726,183
1786722534.1532574,726,184
1786722534.1949224,726,185
1786722534.2526033,726,186
1786722534.305831,726,183
1786722534.355809,726,183
1786722534.403267,724,183
1786722534.4558656,723,185
1786722534.5058558,701,183
1786722534.5558817,649,180
1786722534.5976682,580,175
1786722534.656038,508,171
1786722534.7051,457,168
1786722534.7504284,415,163
1786722534.7920785,382,158
1786722534.8545227,374,158
1786722534.9026399,374,160
1786722534.944786,376,160
1786722535.0059829,444,166
1786722535.048691,515,174
1786722535.106421,569,179
1786722535.1563525,614,181
1786722535.2016764,647,183
1786722535.2433772,682,185
1786722535.305321,696,185
1786722535.347133,702,184
1786722535.4055278,716,184
1786722535.4537027,724,185
1786722535.5065355,725,185
1786722535.5567002,726,185
1786722535.6043303,726,185
1786722535.6533117,726,185
1786722535.706775,725,184
1786722535.7502322,725,185
1786722535.7918618,725,185
1786722535.8568423,725,185
1786722535.904371,724,185
1786722535.9524553,720,185
1786722536.0063424,694,185
1786722536.05569,606,178
1786722536.1060133,512,172
1786722536.1571083,444,165
1786722536.2015283,418,164
1786722536.2431383,414,164
1786722536.3058312,415,164
1786722536.3466933,422,164
1786722536.4043987,452,170
1786722536.4563181,520,175
1786722536.506863,594,181
1786722536.548278,648,183
1786722536.607446,691,185
1786722536.657033,710,187
1786722536.7061973,722,185
1786722536.7429855,728,185
1786722536.8075666,729,185
1786722536.8541214,730,186
1786722536.8957903,732,186
1786722536.9569974,733,186
1786722537.007709,735,186
1786722537.0485797,736,186
1786722537.1078463,736,186
1786722537.1578085,737,187
1786722537.2011702,737,186
1786722537.2420201,736,185
1786722537.3045619,735,186
1786722537.3551536,731,186
1786722537.407641,722,185
1786722537.4574494,689,185
1786722537.5079777,587,177
1786722537.554433,444,165
1786722537.5961294,351,159
1786722537.6581264,310,157
1786722537.7071497,309,157
1786722537.749723,356,160
1786722537.8074536,413,166
1786722537.858344,485,173
1786722537.902589,570,180
1786722537.944098,643,185
1786722538.0084314,713,187
1786722538.0544205,743,187
1786722538.1038787,755,187
1786722538.1454272,757,186
1786722538.2072804,757,186
1786722538.2497323,757,186
1786722538.3086271,757,187
1786722538.3586957,757,187
1786722538.4014134,757,187
1786722538.4579856,757,186
1786722538.506594,728,186
1786722538.548137,606,179
1786722538.608787,478,170
1786722538.6540363,351,159
1786722538.7086277,284,156
1786722538.7494879,263,155
1786722538.8064518,262,155
1786722538.8590205,278,157
1786722538.9022844,371,164
1786722538.943378,505,178
1786722539.0086114,615,184
1786722539.0547273,671,187
1786722539.096735,702,187
1786722539.1591687,722,188
1786722539.2078679,742,188
1786722539.2495396,753,188
1786722539.309417,759,188
1786722539.352809,762,189
1786722539.3953295,762,188
1786722539.4594495,762,188
1786722539.5064335,762,187
1786722539.5473738,761,188
1786722539.6092563,758,189
1786722539.657855,753,188
1786722539.700133,738,188
1786722539.7596428,633,183
1786722539.8049815,510,175
1786722539.8465955,397,165
1786722539.9090102,302,158
1786722539.9508064,279,157
1786722540.0084293,279,158
1786722540.0547934,285,158
1786722540.0964422,375,166
1786722540.1600418,494,177
1786722540.2100954,587,185
1786722540.2561376,639,187
1786722540.297375,672,189
1786722540.3595881,691,193
1786722540.408879,701,193
1786722540.4506488,717,193
1786722540.5083294,730,193
1786722540.5543191,734,193
1786722540.5964346,735,193
1786722540.6590884,735,194
1786722540.7065938,734,193
