timestamp,whisker
1789537409.174008,2427
1789537409.1996264,2421
1789537409.2200375,2424
1789537409.2412417,2433
1789537409.2612042,2430
1789537409.276891,2422
1789537409.2976441,2422
1789537409.3177574,2435
1789537409.3411088,2428
1789537409.3605676,2421
1789537409.3812242,2427
1789537409.4008055,2439
1789537409.4217372,2420
1789537409.4359193,2426
1789537409.4613142,2426
1789537409.481427,2428
1789537409.5006337,2422
1789537409.5215213,2426
1789537409.5413883,2422
1789537409.5614116,2428
1789537409.5812516,2423
1789537409.6011167,2423
1789537409.6165826,2433
1789537409.6379375,2428
1789537409.6586099,2422
1789537409.6799734,2422
1789537409.7002735,2430
1789537409.7217095,2426
1789537409.7416267,2423
1789537409.7617054,2421
1789537409.7777588,2426
1789537409.8015416,2426
1789537409.821343,2424
1789537409.8414407,2425
1789537409.8611455,2436
1789537409.880991,2422
1789537409.9013677,2424
1789537409.9143307,2427
1789537409.9393513,2425
1789537409.9609067,2426
1789537409.9795763,2425
1789537410.0016394,2423
1789537410.0202348,2427
1789537410.0406518,2425
1789537410.0612915,2426
1789537410.082145,2433
1789537410.1020348,2433
1789537410.1168528,2425
1789537410.1374953,2426
1789537410.161229,2431
1789537410.179467,2422
1789537410.2001507,2423
1789537410.2219956,2429
1789537410.241767,2429
1789537410.2621682,2425
1789537410.2767222,2422
1789537410.297221,2433
1789537410.3179934,2430
1789537410.3389287,2426
1789537410.3605824,2419
1789537410.3808453,2437
1789537410.401609,2421
1789537410.4224494,2424
1789537410.4423761,2425
1789537410.4573467,2430
1789537410.4781713,2426
1789537410.498994,2424
1789537410.521323,2424
1789537410.541725,2434
1789537410.5610514,2425
1789537410.5821087,2423
1789537410.6029294,2433
1789537410.6228302,2430
1789537410.6378696,2426
1789537410.65883,2421
1789537410.6800542,2438
1789537410.7005591,2426
1789537410.7215688,2424
1789537410.7423134,2426
1789537410.7627032,2435
1789537410.7826915,2426
1789537410.7976272,2425
1789537410.8184104,2428
1789537410.8389528,2435
1789537410.8600378,2426
1789537410.8808856,2424
1789537410.9020371,2428
1789537410.922944,2432
1789537410.9421458,2423
1789537410.9572976,2425
1789537410.978154,2428
1789537410.9989474,2430
1789537411.019834,2426
1789537411.0407364,2421
1789537411.0620258,2435
1789537411.0824533,2424
1789537411.1028664,2426
1789537411.1226327,2423
1789537411.1385846,2435
1789537411.1606936,2420
1789537411.1831324,2423
1789537411.200045,2425
1789537411.2227879,2425
1789537411.243013,2423
1789537411.262788,2424
1789537411.2833974,2426
1789537411.3032186,2430
1789537411.3205795,2420
1789537411.3413773,2424
1789537411.3627763,2433
1789537411.3806396,2428
1789537411.4018238,2423
1789537411.4219263,2423
1789537411.442942,2436
1789537411.4629698,2422
1789537411.4770916,2421
1789537411.503353,2423
1789537411.5194838,2432
1789537411.5435157,2421
1789537411.5634751,2427
1789537411.581909,2426
1789537411.602616,2427
1789537411.622903,2424
1789537411.639572,2423
1789537411.6582146,2428
1789537411.6836338,2427
1789537411.6998923,2423
1789537411.722857,2423
1789537411.741663,2433
1789537411.762283,2427
1789537411.7826567,2422
1789537411.8031237,2426
1789537411.8238795,2430
1789537411.839993,2427
1789537411.8637736,2426
1789537411.8836834,2426
1789537411.9038172,2431
1789537411.9220352,2423
1789537411.942492,2421
1789537411.9637775,2428
1789537411.983634,2432
1789537411.9979434,2419
1789537412.0190644,2423
1789537412.0418396,2438
1789537412.0638988,2427
1789537412.0817916,2425
1789537412.1039853,2423
1789537412.1233542,2431
1789537412.1439633,2427
1789537412.164173,2423
1789537412.1788929,2421
1789537412.199598,2432
1789537412.220479,2424
1789537412.2442183,2418
1789537412.2553966,2429
1789537412.2843218,2429
1789537412.304206,2422
1789537412.3237891,2427
1789537412.3435993,2432
1789537412.3594823,2428
1789537412.3802633,2421
1789537412.4041688,2425
1789537412.421883,2432
1789537412.4429715,2429
1789537412.4637692,2424
1789537412.4838223,2421
1789537412.5044096,2437
1789537412.5243747,2422
1789537412.5432096,2421
1789537412.5608573,2424
1789537412.58402,2431
1789537412.5959609,2419
1789537412.6247294,2426
1789537412.6435058,2428
1789537412.6640024,2428
1789537412.678369,2425
1789537412.6997118,2423
1789537412.7207506,2433
1789537412.7447464,2427
1789537412.7623491,2421
1789537412.784528,2424
1789537412.803717,2431
1789537412.824646,2423
1789537412.8445415,2422
1789537412.864818,2427
1789537412.8814218,2431
1789537412.9010954,2427
1789537412.9249523,2427
1789537412.94443,2427
1789537412.9637136,2433
1789537412.9843671,2424
1789537413.0044572,2425
1789537413.0248168,2431
1789537413.04497,2429
1789537413.060567,2424
1789537413.0851088,2426
1789537413.095013,2435
1789537413.1251183,2426
1789537413.1448145,2423
1789537413.1651387,2427
1789537413.1789522,2428
1789537413.205107,2427
1789537413.2134197,2422
1789537413.245148,2423
1789537413.2618392,2430
1789537413.2852876,2427
1789537413.3051832,2419
1789537413.3249874,2427
1789537413.344882,2428
1789537413.3597183,2423
1789537413.384905,2427
1789537413.4009895,2425
1789537413.425018,2430
1789537413.4426937,2426
1789537413.4634554,2421
1789537413.4843924,2432
1789537413.5052006,2428
1789537413.525311,2424
1789537413.545503,2423
1789537413.5654883,2435
1789537413.5815809,2421
1789537413.6022668,2422
1789537413.623617,2428
1789537413.6438076,2431
1789537413.665519,2419
1789537413.6855333,2425
1789537413.699487,2427
1789537413.7256575,2429
1789537413.741768,2423
1789537413.762012,2419
1789537413.7858078,2434
1789537413.8038003,2428
1789537413.8258412,2423
1789537413.8454528,2424
1789537413.8657198,2437
1789537413.885561,2424
1789537413.9008238,2424
1789537413.925825,2423
1789537413.946063,2429
1789537413.9654262,2425
1789537413.98587,2423
1789537414.0051224,2425
1789537414.0259109,2432
1789537414.0456028,2424
1789537414.0606282,2415
1789537414.08609,2428
1789537414.1022928,2433
1789537414.126107,2423
1789537414.1440089,2425
1789537414.1661015,2427
1789537414.185605,2423
1789537414.2061641,2426
1789537414.2203245,2424
1789537414.2421803,2437
1789537414.2619126,2423
1789537414.2863128,2425
1789537414.303479,2420
1789537414.3263001,2433
1789537414.345174,2425
1789537414.3662655,2426
1789537414.3863673,2427
1789537414.400462,2428
1789537414.4263885,2423
1789537414.442546,2424
1789537414.4661543,2432
1789537414.484073,2427
1789537414.5049753,2425
1789537414.5257862,2425
1789537414.5457728,2423
1789537414.5664556,2428
1789537414.5811906,2424
1789537414.6061144,2423
1789537414.6231222,2435
1789537414.646044,2422
1789537414.6646419,2422
1789537414.686431,2429
1789537414.7056198,2430
1789537414.7263155,2419
1789537414.7466733,2425
1789537414.761958,2429
1789537414.786806,2420
1789537414.8034835,2426
1789537414.8264487,2421
1789537414.8452103,2433
1789537414.86615,2428
1789537414.8868723,2422
1789537414.9002995,2419
1789537414.9268472,2435
1789537414.9355335,2425
1789537414.9669728,2425
1789537414.976646,2425
1789537415.006927,2429
1789537415.0266104,2424
1789537415.0468812,2425
1789537415.0665147,2422
1789537415.0873268,2432
1789537415.1015606,2424
1789537415.126636,2425
1789537415.1436582,2431
1789537415.1670284,2431
1789537415.1854784,2422
1789537415.2062378,2426
1789537415.2268858,2436
1789537415.2470262,2420
1789537415.26718,2424
1789537415.2824879,2426
1789537415.30732,2435
1789537415.3242311,2426
1789537415.3472192,2422
1789537415.3659265,2426
1789537415.3868291,2433
1789537415.4071062,2422
1789537415.427553,2421
1789537415.4427588,2430
1789537415.4653533,2430
1789537415.4838538,2423
1789537415.5045602,2427
1789537415.527238,2433
1789537415.5465086,2430
1789537415.567192,2423
1789537415.587294,2425
1789537415.6075509,2430
1789537415.622879,2425
1789537415.6476731,2421
1789537415.6660914,2425
1789537415.6876805,2435
1789537415.7076876,2417
1789537415.7270126,2422
1789537415.7469409,2431
1789537415.7676992,2426
1789537415.786774,2416
1789537415.8070772,2426
1789537415.8272536,2427
1789537415.8461585,2422
1789537415.8676355,2424
1789537415.887749,2422
1789537415.9074962,2431
1789537415.9277735,2425
1789537415.9481359,2423
1789537415.967924,2424
1789537415.9839725,2431
1789537416.0076027,2426
1789537416.0254824,2421
1789537416.0462294,2427
1789537416.0680854,2429
1789537416.0875914,2421
1789537416.108001,2425
1789537416.1224294,2425
1789537416.1434474,2430
1789537416.1643567,2424
1789537416.1876223,2422
1789537416.2061145,2435
1789537416.2281537,2432
1789537416.248216,2421
1789537416.2677283,2423
1789537416.2880237,2434
1789537416.3033462,2423
1789537416.323918,2423
1789537416.3448763,2427
1789537416.368321,2427
1789537416.3865507,2422
1789537416.4073493,2425
1789537416.4276447,2420
1789537416.448217,2430
1789537416.468375,2425
1789537416.483753,2423
1789537416.5085008,2429
1789537416.525321,2429
1789537416.548516,2422
1789537416.5669541,2426
1789537416.5878122,2436
1789537416.6083093,2427
1789537416.6226034,2426
1789537416.6485806,2425
1789537416.6686604,2430
1789537416.6881065,2428
1789537416.7087295,2421
1789537416.7284281,2430
1789537416.7474694,2434
1789537416.7684293,2419
1789537416.788395,2423
1789537416.8090224,2428
1789537416.8239307,2429
1789537416.8442433,2426
1789537416.8688307,2421
1789537416.8865905,2432
1789537416.9077127,2428
1789537416.928906,2447
1789537416.9481301,2421
1789537416.962934,2437
1789537416.9889312,2422
1789537417.0076294,2422
1789537417.0290608,2427
1789537417.0460575,2431
1789537417.0669923,2421
1789537417.0890222,2425
1789537417.10185,2423
1789537417.1287746,2429
1789537417.1426325,2425
1789537417.1692045,2424
1789537417.1773672,2428
1789537417.209177,2427
1789537417.2267518,2424
1789537417.2486281,2423
1789537417.268251,2436
1789537417.2890685,2428
1789537417.308919,2421
1789537417.3238742,2424
1789537417.3493757,2429
1789537417.3656018,2423
1789537417.3862996,2424
1789537417.4093716,2428
1789537417.4280472,2430
1789537417.4492621,2424
1789537417.4685442,2423
1789537417.489653,2423
1789537417.5094428,2430
1789537417.5250747,2423
1789537417.549461,2424
1789537417.5668347,2435
1789537417.588004,2426
1789537417.6082067,2422
1789537417.6293752,2427
1789537417.6493285,2432
1789537417.6638076,2427
1789537417.6897783,2423
1789537417.705714,2426
1789537417.7297375,2434
1789537417.7473688,2425
1789537417.7697744,2425
1789537417.788923,2422
1789537417.8098366,2439
1789537417.8296835,2420
1789537417.8491824,2421
1789537417.8697968,2430
1789537417.8863199,2430
1789537417.909539,2424
1789537417.9294417,2420
1789537417.949463,2438
1789537417.969968,2422
1789537417.9833918,2424
1789537418.0099807,2425
1789537418.0251906,2431
1789537418.0500848,2426
1789537418.0666652,2425
1789537418.0901248,2418
1789537418.1085203,2431
1789537418.1296842,2423
1789537418.1492965,2424
1789537418.1701167,2424
1789537418.1856315,2425
1789537418.210165,2419
1789537418.22655,2427
1789537418.247039,2429
1789537418.270317,2429
1789537418.2824066,2420
1789537418.3101614,2422
1789537418.3169143,2432
1789537418.349857,2429
1789537418.357924,2428
1789537418.3904192,2423
1789537418.399581,2435
1789537418.430359,2422
1789537418.4348702,2423
1789537418.4700673,2430
1789537418.4777217,2429
1789537418.5105424,2424
1789537418.518244,2424
1789537418.550471,2429
1789537418.5599532,2429
1789537418.5870185,2424
1789537418.6083264,2423
1789537418.629188,2433
1789537418.650033,2429
1789537418.6699657,2423
1789537418.6905308,2423
1789537418.70561,2435
1789537418.7307637,2430
1789537418.7471476,2427
1789537418.7707953,2422
1789537418.7889493,2430
1789537418.809736,2424
1789537418.830259,2424
1789537418.8505285,2423
1789537418.8700004,2434
1789537418.8908992,2419
1789537418.9075108,2424
1789537418.9305968,2432
1789537418.941695,2428
1789537418.9707546,2424
1789537418.9903204,2422
1789537419.0101843,2432
1789537419.0306814,2425
1789537419.0458548,2426
1789537419.0710158,2421
1789537419.0884082,2427
1789537419.1082706,2428
1789537419.1311657,2426
1789537419.1443996,2428
1789537419.1711729,2431
1789537419.1899858,2424
1789537419.2112494,2419
1789537419.226372,2427
1789537419.2512574,2429
1789537419.2678757,2422
1789537419.2912166,2423
1789537419.3095565,2430
1789537419.3304217,2428
1789537419.3509877,2423
1789537419.3712757,2422
1789537419.3913274,2433
1789537419.4068086,2426
1789537419.4305518,2423
1789537419.4486172,2427
1789537419.471481,2425
1789537419.490088,2423
1789537419.5110369,2421
1789537419.531517,2424
1789537419.5517364,2431
1789537419.5715654,2424
1789537419.5872095,2425
1789537419.6080735,2430
1789537419.6292374,2428
1789537419.649565,2424
1789537419.6706536,2426
1789537419.6911826,2431
1789537419.7114687,2428
1789537419.7316556,2423
1789537419.7469761,2419
1789537419.7717135,2438
1789537419.788784,2425
1789537419.8118062,2422
1789537419.8316417,2420
1789537419.8510907,2435
1789537419.8711436,2420
1789537419.8916843,2426
1789537419.9112349,2421
1789537419.931913,2432
1789537419.9479551,2423
1789537419.971951,2427
1789537419.9918606,2430
1789537420.0113494,2429
1789537420.0311594,2422
1789537420.051643,2425
1789537420.071946,2433
1789537420.0871437,2421
1789537420.1080115,2423
1789537420.128888,2424
1789537420.1520975,2426
1789537420.1716838,2427
1789537420.1920016,2425
1789537420.2121673,2426
1789537420.2259347,2430
1789537420.2515302,2422
1789537420.2677429,2421
1789537420.2923157,2433
1789537420.309417,2431
1789537420.330119,2421
1789537420.3523097,2422
1789537420.3721795,2436
