timestamp,headingDeg,encoderCount
1786865689.5664551,0.15,-27633
1786865689.591585,0.15,-27655
1786865689.6125004,0.15,-27676
1786865689.633589,0.15,-27698
1786865689.651735,0.15,-27720
1786865689.670315,0.15,-27742
1786865689.6903317,0.15,-27764
1786865689.7108397,0.15,-27786
1786865689.7319434,0.15,-27808
1786865689.7525823,0.14,-27830
1786865689.7764285,0.15,-27852
1786865689.7968776,0.15,-27874
1786865689.8156662,0.15,-27896
1786865689.8347936,0.15,-27918
1786865689.8578289,0.16,-27940
1786865689.8790789,0.16,-27962
1786865689.898652,0.16,-27984
1786865689.912559,0.16,-28006
1786865689.9401846,0.16,-28028
1786865689.9597776,0.15,-28050
1786865689.9803236,0.15,-28072
1786865690.0020108,0.15,-28094
1786865690.02225,0.15,-28116
1786865690.0430398,0.15,-28138
1786865690.0638165,0.15,-28160
1786865690.0791576,0.15,-28182
1786865690.1014595,0.15,-28204
1786865690.1199663,0.15,-28226
1786865690.1417787,0.14,-28248
1786865690.165985,0.14,-28269
1786865690.1863954,0.14,-28291
1786865690.2047603,0.14,-28313
1786865690.2247384,0.14,-28335
1786865690.2464387,0.14,-28357
1786865690.2658973,0.14,-28379
1786865690.2861028,0.14,-28401
1786865690.306882,0.14,-28423
1786865690.3292003,0.14,-28445
1786865690.348574,0.14,-28467
1786865690.3705938,0.14,-28488
1786865690.3880553,0.14,-28510
1786865690.411064,0.14,-28532
1786865690.4315248,0.13,-28554
1786865690.4481077,0.14,-28576
1786865690.4671004,0.13,-28598
1786865690.491282,0.13,-28620
1786865690.5121243,0.13,-28642
1786865690.529539,0.14,-28664
1786865690.55105,0.14,-28686
1786865690.5738828,0.14,-28708
1786865690.593269,0.14,-28730
1786865690.6138425,0.14,-28752
1786865690.6331763,0.14,-28774
1786865690.656701,0.14,-28796
1786865690.6772442,0.14,-28818
1786865690.6977127,0.14,-28840
1786865690.7186527,0.14,-28861
1786865690.7392604,0.14,-28883
1786865690.7587724,0.14,-28905
1786865690.775721,0.14,-28927
1786865690.8005118,0.14,-28949
1786865690.8206306,0.14,-28971
1786865690.8369334,0.14,-28993
1786865690.8576496,0.14,-29015
1786865690.8787205,0.14,-29037
1786865690.901763,0.15,-29059
1786865690.9199777,0.15,-29081
1786865690.9440763,0.14,-29103
1786865690.9616938,0.14,-29125
1786865690.9822288,0.14,-29147
1786865691.005133,0.14,-29169
1786865691.024785,0.14,-29191
1786865691.0461202,0.14,-29213
