timestamp,headingDeg,encCountR,encCountL,wL,wF,wR
1789541717.001712,0.34,-1,0,2644,2882,2453
1789541717.0238435,0.35,-1,0,2644,2883,2454
1789541717.0361867,0.34,-1,0,2644,2885,2453
1789541717.0649614,0.34,-1,0,2644,2884,2454
1789541717.071851,0.34,-1,0,2644,2881,2456
1789541717.1056557,0.35,-1,0,2645,2883,2456
1789541717.11329,0.35,-1,0,2644,2884,2454
1789541717.1472309,0.34,-1,0,2644,2884,2453
1789541717.1543198,0.34,-1,0,2643,2886,2455
1789541717.1877973,0.35,-1,0,2644,2883,2452
1789541717.2089708,0.34,-1,0,2644,2882,2449
1789541717.2287016,0.34,-1,0,2644,2884,2452
1789541717.2453403,0.34,-1,0,2643,2881,2451
1789541717.270234,0.34,-1,0,2644,2883,2450
1789541717.2871253,0.35,-1,0,2644,2883,2447
1789541717.3110516,0.35,-1,0,2644,2884,2446
1789541717.3315966,0.35,-1,0,2643,2884,2446
1789541717.3525784,0.35,-1,0,2643,2883,2443
1789541717.3701365,0.35,-1,0,2644,2884,2441
1789541717.3926709,0.35,-1,0,2643,2883,2440
1789541717.4125082,0.35,-1,0,2645,2882,2437
1789541717.4325888,0.35,-1,0,2643,2883,2435
1789541717.4528594,0.35,-1,0,2643,2884,2434
1789541717.4742725,0.35,-1,0,2645,2883,2434
1789541717.4945238,0.35,-1,0,2645,2883,2426
1789541717.515448,0.35,-1,0,2644,2882,2432
1789541717.5368607,0.35,-1,0,2644,2883,2432
1789541717.5574498,0.36,-1,0,2644,2884,2432
1789541717.5785232,0.35,-1,0,2644,2883,2429
1789541717.599398,0.35,-1,0,2644,2883,2428
1789541717.6191626,0.35,-1,0,2644,2883,2427
1789541717.6401134,0.36,-1,0,2644,2883,2427
1789541717.6611307,0.36,-1,0,2644,2884,2428
1789541717.6792405,0.35,-1,0,2649,2883,2424
1789541717.7015703,0.35,-1,0,2643,2887,2425
1789541717.722471,0.35,-1,0,2644,2882,2423
1789541717.7426252,0.35,-1,0,2644,2882,2423
1789541717.7601018,0.35,-1,0,2644,2883,2423
1789541717.7813857,0.35,-1,0,2648,2884,2423
1789541717.8047209,0.35,-1,0,2644,2882,2421
1789541717.824527,0.35,-1,0,2644,2884,2420
1789541717.842333,0.35,-1,0,2644,2884,2421
