timestamp,headingDeg,encCountR,encCountL,wL,wF,wR
1789542386.8007424,-0.07,0,0,2852,2923,2319
1789542386.8214388,-0.07,0,0,2852,2921,2319
1789542386.838441,-0.07,0,0,2853,2924,2318
1789542386.8619463,-0.08,0,0,2853,2923,2318
1789542386.8792033,-0.08,0,0,2853,2922,2319
1789542386.8991709,-0.08,0,0,2852,2924,2320
1789542386.9193103,-0.08,0,0,2850,2923,2319
1789542386.93943,-0.08,0,0,2852,2922,2319
1789542386.9630368,-0.08,0,0,2851,2928,2318
1789542386.9852612,-0.08,0,0,2852,2923,2320
1789542387.0030422,-0.08,0,0,2852,2920,2316
1789542387.025899,-0.08,0,0,2853,2923,2320
1789542387.0451112,-0.08,0,0,2853,2924,2319
1789542387.0666478,-0.08,0,0,2852,2923,2320
1789542387.0873146,-0.08,0,0,2854,2923,2320
1789542387.108515,-0.08,0,0,2852,2923,2318
1789542387.127771,-0.08,0,0,2853,2922,2319
1789542387.149102,-0.07,0,0,2852,2923,2319
1789542387.1694398,-0.07,0,0,2853,2922,2318
1789542387.18968,-0.07,0,0,2852,2922,2320
1789542387.211242,-0.07,0,0,2852,2923,2318
1789542387.2314255,-0.07,0,0,2852,2923,2318
1789542387.2528841,-0.07,0,0,2853,2923,2319
1789542387.2733717,-0.08,0,0,2850,2923,2320
1789542387.293554,-0.08,0,0,2852,2923,2319
1789542387.3151777,-0.08,0,0,2852,2922,2319
1789542387.3344545,-0.08,0,0,2852,2924,2319
1789542387.3561833,-0.08,0,0,2852,2923,2320
1789542387.3752828,-0.08,0,0,2854,2922,2319
1789542387.39694,-0.08,0,0,2853,2924,2317
1789542387.4166903,-0.06,0,0,2856,2923,2317
1789542387.4374228,-0.02,0,0,2852,2923,2318
1789542387.4583433,0.13,0,0,2852,2922,2321
1789542387.4774444,0.27,0,0,2853,2923,2323
1789542387.4989278,0.26,0,0,2853,2923,2321
1789542387.5191061,0.23,0,0,2852,2923,2317
1789542387.538632,0.20,0,0,2852,2923,2316
1789542387.5597472,0.21,0,0,2853,2922,2315
1789542387.5814722,0.20,0,0,2855,2923,2314
1789542387.6000826,0.21,0,0,2852,2925,2316
1789542387.6225696,0.20,0,0,2853,2922,2315
1789542387.6416256,0.21,0,0,2852,2922,2316
1789542387.6624,0.04,0,0,2852,2923,2316
1789542387.6835876,-0.31,0,0,2853,2923,2308
1789542387.7046525,-0.63,0,0,2850,2922,2301
1789542387.7240095,-0.91,0,0,2852,2923,2295
1789542387.74486,-1.30,0,0,2852,2923,2291
1789542387.7657313,-1.51,0,0,2852,2923,2294
1789542387.78649,-1.50,0,0,2853,2922,2298
1789542387.807297,-1.47,0,0,2853,2921,2303
1789542387.8254528,-1.48,0,0,2853,2923,2307
1789542387.8432996,-1.50,0,0,2853,2924,2307
1789542387.8681386,-1.50,0,0,2853,2924,2308
1789542387.8884943,-1.50,0,0,2852,2922,2309
1789542387.9096596,-1.51,0,0,2852,2922,2307
1789542387.9265678,-1.51,0,0,2853,2923,2308
1789542387.9487143,-1.51,0,0,2852,2923,2307
1789542387.96814,-1.51,0,0,2852,2923,2308
1789542387.9894738,-1.51,0,0,2852,2924,2305
1789542388.0102503,-1.52,0,0,2853,2924,2304
1789542388.0338597,-1.52,0,0,2852,2923,2304
1789542388.0520365,-1.52,0,0,2853,2923,2303
1789542388.0729141,-1.51,0,0,2852,2924,2305
1789542388.0935774,-1.50,0,0,2852,2923,2304
1789542388.114464,-1.41,0,0,2853,2923,2297
1789542388.1346993,-1.29,0,0,2853,2923,2304
1789542388.1559966,-1.28,0,0,2853,2922,2304
1789542388.1763315,-1.29,0,0,2853,2922,2308
1789542388.1965208,-1.33,0,0,2852,2923,2304
1789542388.2179914,-1.35,0,0,2852,2922,2302
1789542388.2383645,-1.25,0,0,2853,2923,2304
1789542388.2587597,-1.01,0,0,2851,2923,2308
1789542388.2799866,-0.92,0,0,2853,2923,2310
1789542388.2995477,-0.92,0,0,2853,2924,2309
1789542388.316614,-0.93,0,0,2853,2924,2307
1789542388.3361685,-0.92,0,0,2851,2922,2305
1789542388.357195,-0.90,0,0,2853,2923,2306
1789542388.3780289,-0.84,0,0,2852,2923,2300
1789542388.398489,-0.76,0,0,2852,2923,2303
1789542388.4197242,-0.73,0,0,2852,2923,2297
1789542388.4444187,-0.71,0,0,2852,2923,2299
1789542388.4650583,-0.68,0,0,2852,2923,2298
1789542388.4832745,-0.66,0,0,2852,2924,2299
1789542388.5050337,-0.65,0,0,2853,2924,2303
1789542388.5265515,-0.66,0,0,2852,2923,2301
1789542388.5462577,-0.66,0,0,2853,2923,2301
1789542388.5664022,-0.69,0,0,2852,2922,2302
1789542388.5859547,-0.70,0,0,2853,2923,2302
1789542388.6070154,-0.67,0,0,2852,2922,2302
1789542388.6289697,-0.67,0,0,2852,2918,2301
1789542388.648966,-0.67,0,0,2852,2923,2301
1789542388.6694424,-0.67,0,0,2853,2922,2300
1789542388.6907432,-0.67,0,0,2852,2922,2299
1789542388.7110925,-0.71,0,0,2853,2927,2300
1789542388.731867,-0.72,0,0,2852,2924,2299
1789542388.7524922,-0.74,0,0,2852,2923,2298
1789542388.7733865,-0.75,0,0,2847,2923,2299
1789542388.7932918,-0.75,0,0,2852,2923,2299
1789542388.8134217,-0.75,0,0,2852,2923,2301
1789542388.8293543,-0.76,0,0,2847,2923,2302
1789542388.8549747,-0.76,0,0,2853,2923,2298
1789542388.870775,-0.76,0,0,2852,2923,2299
1789542388.8914723,-0.77,0,0,2852,2922,2298
1789542388.9116619,-0.77,0,0,2852,2923,2298
1789542388.9330473,-0.77,0,0,2853,2923,2299
1789542388.9559658,-0.78,0,0,2853,2923,2299
1789542388.9780076,-0.79,0,0,2853,2923,2301
1789542388.9958222,-0.79,0,0,2853,2922,2299
