timestamp,whiskerL,whiskerF,whiskerR
1789539115.5745623,2546,2479,2555
1789539115.615569,2546,2480,2556
1789539115.664247,2547,2483,2555
1789539115.7157185,2547,2481,2554
1789539115.7736065,2546,2481,2556
1789539115.8238025,2547,2481,2556
1789539115.8730085,2547,2480,2555
1789539115.9206007,2546,2481,2557
1789539115.9747992,2546,2480,2556
1789539116.024166,2547,2482,2558
1789539116.0743723,2543,2481,2555
1789539116.1235187,2547,2480,2556
1789539116.1755044,2547,2481,2556
1789539116.2254617,2546,2481,2556
1789539116.274907,2546,2481,2556
1789539116.324106,2546,2480,2557
1789539116.3721397,2548,2483,2557
1789539116.421252,2546,2480,2556
1789539116.4761198,2547,2480,2555
1789539116.5249164,2547,2481,2557
1789539116.5732176,2548,2482,2554
1789539116.6221905,2546,2481,2556
1789539116.67085,2547,2481,2556
1789539116.7265751,2546,2483,2556
1789539116.7752867,2546,2481,2556
1789539116.8241863,2547,2480,2559
1789539116.8722076,2546,2480,2556
1789539116.920877,2546,2481,2556
1789539116.9765174,2547,2481,2556
1789539117.026145,2547,2482,2556
1789539117.073551,2546,2480,2556
1789539117.1221197,2547,2481,2554
1789539117.1707234,2546,2481,2554
1789539117.2262864,2546,2481,2556
1789539117.2765787,2546,2480,2555
1789539117.324628,2547,2480,2556
1789539117.3769872,2547,2481,2555
1789539117.4273336,2546,2481,2556
1789539117.477059,2546,2480,2555
1789539117.5252383,2547,2478,2557
1789539117.5770512,2546,2481,2556
1789539117.622527,2546,2481,2556
1789539117.6774247,2546,2480,2556
1789539117.7195919,2546,2481,2555
1789539117.7755933,2546,2481,2556
1789539117.8240373,2546,2481,2555
1789539117.8658578,2546,2481,2556
1789539117.9279351,2546,2480,2556
1789539117.9750433,2547,2480,2558
1789539118.0282347,2549,2480,2555
1789539118.078167,2546,2481,2555
1789539118.1239362,2546,2481,2555
1789539118.1702416,2547,2480,2555
1789539118.2235823,2544,2481,2555
1789539118.2782397,2547,2481,2557
1789539118.324056,2547,2481,2556
1789539118.3655157,2546,2482,2556
1789539118.4282527,2546,2482,2557
1789539118.4782703,2547,2477,2556
1789539118.5281723,2549,2481,2555
1789539118.578371,2547,2481,2555
1789539118.624491,2546,2481,2556
1789539118.678665,2547,2483,2555
1789539118.7250893,2546,2480,2556
1789539118.7776058,2547,2481,2556
1789539118.828871,2546,2481,2556
1789539118.8717358,2547,2481,2556
1789539118.9291863,2547,2480,2556
1789539118.97667,2546,2481,2556
1789539119.0294821,2546,2481,2555
1789539119.0695837,2545,2481,2555
1789539119.1282198,2542,2481,2553
1789539119.1711695,2549,2481,2555
1789539119.2189584,2546,2482,2555
1789539119.2753031,2546,2481,2556
1789539119.329941,2546,2481,2555
1789539119.3797486,2547,2481,2556
1789539119.429711,2546,2480,2556
1789539119.4765787,2546,2480,2555
1789539119.5183103,2546,2481,2556
1789539119.5800254,2546,2481,2556
1789539119.621757,2546,2480,2551
1789539119.6800256,2546,2481,2556
1789539119.730111,2546,2480,2555
1789539119.775188,2545,2482,2554
1789539119.8167806,2547,2481,2556
1789539119.8802066,2546,2481,2555
1789539119.927874,2546,2481,2556
1789539119.9696236,2547,2480,2558
1789539120.0259175,2547,2480,2556
1789539120.0805137,2547,2481,2556
1789539120.12232,2546,2480,2556
1789539120.1794064,2548,2480,2556
1789539120.2307549,2546,2482,2555
1789539120.2807715,2547,2480,2558
1789539120.3228428,2546,2482,2556
1789539120.3653738,2542,2481,2556
1789539120.430998,2547,2480,2555
1789539120.4757624,2547,2481,2555
1789539120.518079,2546,2480,2555
1789539120.5812793,2546,2477,2557
1789539120.629199,2547,2482,2557
1789539120.6708572,2546,2481,2556
1789539120.7286065,2547,2481,2555
1789539120.7810097,2548,2481,2556
1789539120.8235295,2547,2481,2556
1789539120.8813112,2546,2481,2558
1789539120.9315965,2546,2480,2555
1789539120.9762619,2546,2481,2556
1789539121.0173266,2547,2481,2556
1789539121.08064,2546,2480,2556
1789539121.12211,2547,2481,2556
1789539121.1792152,2546,2481,2555
